"Continent","Year","Rate","Prop"
"Africa",1990,1889.52018994742,0.258789104358812
"Africa",1991,1893.3286559523,0.258268118232071
"Africa",1992,1909.84302035745,0.258547716492029
"Africa",1993,1917.62755670659,0.256074389808986
"Africa",1994,1937.51616875647,0.256518522734823
"Africa",1995,1964.09962743611,0.258984703076834
"Africa",1996,1974.87809865255,0.262709564876739
"Africa",1997,1990.6883894137,0.265597670996773
"Africa",1998,2012.94315296716,0.269370585547157
"Africa",1999,2017.31145882404,0.272066447581139
"Africa",2000,2022.04714896719,0.276357686136139
"Africa",2001,2013.52035950877,0.278176280216032
"Africa",2002,2017.38784409336,0.281916634120269
"Africa",2003,2012.20394529678,0.284561041372582
"Africa",2004,2007.40301533499,0.28762372618673
"Africa",2005,1987.52299880952,0.287942060620804
"Africa",2006,1965.92426278091,0.288555587140013
"Africa",2007,1944.73829113534,0.288555784986202
"Africa",2008,1927.19160045196,0.28975686558277
"Africa",2009,1914.7873814463,0.292653299195221
"Africa",2010,1899.03584161372,0.294683531593993
"Africa",2011,1875.75391035131,0.295219788927032
"Africa",2012,1856.08465311257,0.296640283838825
"Africa",2013,1837.65900418192,0.29793713628895
"Africa",2014,1826.90602280865,0.299547367907652
"Africa",2015,1809.40764961517,0.298221853028967
"Africa",2016,1790.89338105865,0.298535712743689
"Africa",2017,1775.36891802246,0.298985537988411
"Africa",2018,1759.53976439644,0.298944927599419
"Africa",2019,1738.47837512117,0.299060593712098
"Asia",1990,1290.39426371959,0.176732684601287
"Asia",1991,1278.80578458962,0.174441327200073
"Asia",1992,1286.46782544843,0.174157412449483
"Asia",1993,1298.21676825233,0.173360080067349
"Asia",1994,1322.92858874833,0.175149860807195
"Asia",1995,1346.98146051715,0.17761196465243
"Asia",1996,1350.45534461849,0.179645283530286
"Asia",1997,1347.73702158535,0.179815091077424
"Asia",1998,1327.60036907342,0.177658513735366
"Asia",1999,1320.51400341925,0.178092258545368
"Asia",2000,1309.79149985855,0.179012120665227
"Asia",2001,1279.76726998072,0.1768052143224
"Asia",2002,1258.18290535313,0.175822755561524
"Asia",2003,1248.17342558683,0.176513683232136
"Asia",2004,1234.30440121242,0.176852992853632
"Asia",2005,1227.07132925622,0.177771752722549
"Asia",2006,1209.20499165113,0.177485401113548
"Asia",2007,1187.01934868023,0.176127194858836
"Asia",2008,1159.69855908018,0.174362849766013
"Asia",2009,1127.22550193364,0.172283494906204
"Asia",2010,1105.98702051466,0.171621911477683
"Asia",2011,1091.35883412844,0.171765988532423
"Asia",2012,1070.16839393729,0.171034793914459
"Asia",2013,1044.51322178617,0.169345497400076
"Asia",2014,1024.83796969379,0.1680368407137
"Asia",2015,1008.37019582266,0.166196947604026
"Asia",2016,994.623286148392,0.165800250747622
"Asia",2017,981.878368070754,0.165355734876678
"Asia",2018,976.176396444277,0.165851882443474
"Asia",2019,968.300314307869,0.166571221726206
"Europe",1990,1974.08622241717,0.270371286924764
"Europe",1991,2000.61608781689,0.27290314900209
"Europe",1992,2020.91622426757,0.273584409522979
"Europe",1993,2073.98810371704,0.276954321120917
"Europe",1994,2110.40562642729,0.279408317923788
"Europe",1995,2099.21471477614,0.276800877107495
"Europe",1996,2028.5525537974,0.269849647480176
"Europe",1997,1998.69310352641,0.266665660058566
"Europe",1998,1971.31420835432,0.263799830521342
"Europe",1999,1934.54567575683,0.26090416895437
"Europe",2000,1887.60941016554,0.257983781035274
"Europe",2001,1861.72645046526,0.257205315220437
"Europe",2002,1820.65570468358,0.254424616297286
"Europe",2003,1768.03331499856,0.250031018214311
"Europe",2004,1717.2669936522,0.24605260019962
"Europe",2005,1693.99449053772,0.245417167287063
"Europe",2006,1659.39605190588,0.24356380920707
"Europe",2007,1639.32847554513,0.243239780523373
"Europe",2008,1599.03435316717,0.240417809015061
"Europe",2009,1544.88918347635,0.23611860032933
"Europe",2010,1498.65223102877,0.232553868859841
"Europe",2011,1464.94284194681,0.230563355994126
"Europe",2012,1428.17403059977,0.228251415741145
"Europe",2013,1396.22368242562,0.226367832450987
"Europe",2014,1363.86224456747,0.223624718758508
"Europe",2015,1371.89500904196,0.226112159879891
"Europe",2016,1338.24250041444,0.22308038150711
"Europe",2017,1316.41102452289,0.221693561482003
"Europe",2018,1306.64813670707,0.221998866140886
"Europe",2019,1294.34274831057,0.222658455990129
"North America",1990,819.666916118786,0.112261762654588
"North America",1991,819.834996916371,0.111833326585282
"North America",1992,824.685592617239,0.111642985586929
"North America",1993,841.202690954295,0.112331753388939
"North America",1994,839.26404987203,0.111114827184019
"North America",1995,838.712539777315,0.11059200615225
"North America",1996,827.924429479529,0.110135236583863
"North America",1997,821.529220797583,0.109608439402158
"North America",1998,818.246615100257,0.109497165633634
"North America",1999,804.366930218603,0.108481638915535
"North America",2000,787.905295936255,0.10768477114422
"North America",2001,776.652962720781,0.107297863251373
"North America",2002,758.833165963329,0.106041925767304
"North America",2003,750.690317267158,0.106160818802266
"North America",2004,740.696554288296,0.106128117418674
"North America",2005,727.100758689715,0.105338600288636
"North America",2006,715.670719249667,0.105045137547609
"North America",2007,702.500791904218,0.104235448227333
"North America",2008,701.846177192351,0.105523886870829
"North America",2009,692.731061313176,0.105876000914096
"North America",2010,678.999616038698,0.105363995992419
"North America",2011,665.727893443342,0.104777096345422
"North America",2012,650.703325072175,0.103995697998248
"North America",2013,645.074250914324,0.104585004385355
"North America",2014,642.362016124961,0.105324438570882
"North America",2015,635.563775442586,0.104751965026171
"North America",2016,633.80435534797,0.105652986919864
"North America",2017,632.196197675785,0.106466615674935
"North America",2018,625.263234180396,0.106231911352543
"North America",2019,614.158443895507,0.105650200481721
"Oceania",1990,963.650250513498,0.131981752072452
"Oceania",1991,970.029533631101,0.132321296407162
"Oceania",1992,974.177233586278,0.131880629202244
"Oceania",1993,972.20093567707,0.129824876840421
"Oceania",1994,962.214334396447,0.127392897976209
"Oceania",1995,961.810841671188,0.126823655870988
"Oceania",1996,959.528954284377,0.12764202217781
"Oceania",1997,956.932218787308,0.127673909167943
"Oceania",1998,946.969811706289,0.1267228099804
"Oceania",1999,936.810828978549,0.126343799407312
"Oceania",2000,924.177939863994,0.126309456814264
"Oceania",2001,911.660161085602,0.125949673781204
"Oceania",2002,896.301391116887,0.125252202783321
"Oceania",2003,886.427021325708,0.125356376961101
"Oceania",2004,874.321529450075,0.12527410503254
"Oceania",2005,869.610456087632,0.125984668762702
"Oceania",2006,865.634889387307,0.12705666667072
"Oceania",2007,864.18220532033,0.128225363671806
"Oceania",2008,862.151604446572,0.129626108012825
"Oceania",2009,859.916280986108,0.131428345047994
"Oceania",2010,855.898853966514,0.132814395309031
"Oceania",2011,853.057949349271,0.134260462611671
"Oceania",2012,851.314263833409,0.136057428434686
"Oceania",2013,848.144418803592,0.137508492447591
"Oceania",2014,846.936549875,0.138867358874768
"Oceania",2015,848.102785903891,0.139782090799207
"Oceania",2016,846.930074027158,0.141180304739472
"Oceania",2017,841.170442427738,0.141659457206981
"Oceania",2018,833.635656655228,0.141634281910404
"Oceania",2019,822.962752795647,0.141569623744589
"South America",1990,364.072200844243,0.049863409388097
"South America",1991,368.249737386605,0.0502327825733225
"South America",1992,370.720732995497,0.0501868467463352
"South America",1993,385.320524431117,0.051454578773387
"South America",1994,380.795069017944,0.0504155733739663
"South America",1995,373.024973804713,0.0491867931400033
"South America",1996,376.004342755143,0.0500182453511256
"South America",1997,379.547476573666,0.0506392292971365
"South America",1998,395.691099919661,0.0529510945821015
"South America",1999,401.22597401287,0.0541116865962765
"South America",2000,385.244211756482,0.0526521842048748
"South America",2001,394.961977275682,0.0545656532085539
"South America",2002,404.612067103051,0.0565418654702957
"South America",2003,405.727884594271,0.0573770614176049
"South America",2004,405.275322207844,0.0580684583088043
"South America",2005,397.21012621315,0.0575457503182459
"South America",2006,397.151922286913,0.0582933983210402
"South America",2007,401.788339809375,0.0596164277324494
"South America",2008,401.142199253396,0.0603124807525021
"South America",2009,403.303129024777,0.061640259607156
"South America",2010,405.749373180625,0.0629622967670331
"South America",2011,402.912555798852,0.0634133075893257
"South America",2012,400.576898732395,0.0640203800726363
"South America",2013,396.327515551031,0.0642560370270408
"South America",2014,393.983781963104,0.0645992751744906
"South America",2015,393.981376521634,0.0649349836617379
"South America",2016,394.43150512757,0.0657503633422435
"South America",2017,390.950945931534,0.0658390927709927
"South America",2018,384.569290949349,0.0653381305532747
"South America",2019,374.888255006252,0.064489904345257
